OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 28 | Minha Posição: (360.345,526.6,0) | ID do Vizinho: -1 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 156.454 m | Minha Velocidade: 13.569 | Minha Aceleração: 1.94892e+06 m/s²
Meu ID: 34 | Minha Posição: (216.687,526.6,0) | ID do Vizinho: -1 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 300.112 m | Minha Velocidade: 13.3293 | Minha Aceleração: -500267 m/s²
Meu ID: 40 | Minha Posição: (80.181,526.6,0) | ID do Vizinho: -1 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 436.618 m | Minha Velocidade: 11.3267 | Minha Aceleração: -4.39808e+06 m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -11.3295 m/s²
Meu ID: 22 | Minha Posição: (504.578,526.6,0) |  |  |  | Velocidade: 8.18458 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (373.631,526.6,0) |  |  |  | Velocidade: 13.2864 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (229.756,526.6,0) |  |  |  | Velocidade: 13.0686 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (91.1833,526.6,0) |  |  |  | Velocidade: 11.0022 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -11.0022 m/s²
Meu ID: 22 | Minha Posição: (508.401,526.6,0) |  |  |  | Velocidade: 3.82382 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (387.679,526.6,0) |  |  |  | Velocidade: 14.0472 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (242.568,526.6,0) |  |  |  | Velocidade: 12.8122 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (102.512,526.6,0) |  |  |  | Velocidade: 11.3288 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) | ID do Vizinho: 22 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 0 m | Minha Velocidade: 0 | Minha Aceleração: -790.781 m/s²
Meu ID: 28 | Minha Posição: (387.679,526.6,0) | ID do Vizinho: 22 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 129.12 m | Minha Velocidade: 14.0472 | Minha Aceleração: 3.74914e+07 m/s²
Meu ID: 34 | Minha Posição: (242.568,526.6,0) | ID do Vizinho: 22 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 274.231 m | Minha Velocidade: 12.8122 | Minha Aceleração: -2.55132e+06 m/s²
Meu ID: 40 | Minha Posição: (102.512,526.6,0) | ID do Vizinho: 22 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 414.287 m | Minha Velocidade: 11.3288 | Minha Aceleração: -3.17535e+06 m/s²
Meu ID: 34 | Minha Posição: (242.568,526.6,0) | ID do Vizinho: 40 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 274.231 m | Minha Velocidade: 12.8122 | Minha Aceleração: 17.6933 m/s²
Meu ID: 28 | Minha Posição: (387.679,526.6,0) | ID do Vizinho: 40 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 129.12 m | Minha Velocidade: 14.0472 | Minha Aceleração: 2.55132e+06 m/s²
Meu ID: 22 | Minha Posição: (508.401,526.6,0) | ID do Vizinho: 40 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 8.39756 m | Minha Velocidade: 3.82382 | Minha Aceleração: -2.53878e+07 m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) | ID do Vizinho: 40 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 0 m | Minha Velocidade: 0 | Minha Aceleração: -1.36511e+08 m/s²
Meu ID: 22 | Minha Posição: (508.401,526.6,0) | ID do Vizinho: 28 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 8.39756 m | Minha Velocidade: 3.82382 | Minha Aceleração: 63.5514 m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) | ID do Vizinho: 28 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 0 m | Minha Velocidade: 0 | Minha Aceleração: -1.36511e+08 m/s²
Meu ID: 34 | Minha Posição: (242.568,526.6,0) | ID do Vizinho: 28 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 274.231 m | Minha Velocidade: 12.8122 | Minha Aceleração: 2.40209e+08 m/s²
Meu ID: 40 | Minha Posição: (102.512,526.6,0) | ID do Vizinho: 28 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 414.287 m | Minha Velocidade: 11.3288 | Minha Aceleração: -3.17535e+06 m/s²
